	t	x	y
	0	1000	6
	1	1006.92	5.99999
	2	1014.32	5.99998
	3	1022.23	5.99997
	4	1030.68	5.99997
	5	1039.72	5.99996
	6	1049.38	5.99995
	7	1059.71	5.99994
	8	1070.75	5.99993
	9	1082.55	5.99992
	10	1095.17	5.99992
	11	1108.65	5.99991
	12	1123.07	5.9999
	13	1138.48	5.99989
	14	1154.95	5.99989
	15	1172.56	5.99988
	16	1191.38	5.99987
	17	1211.5	5.99987
	18	1233.01	5.99986
	19	1256	5.99986
	20	1280.58	5.99985
	21	1306.85	5.99985
	22	1334.93	5.99984
	23	1364.95	5.99984
	24	1397.04	5.99983
	25	1431.34	5.99983
	26	1468.01	5.99983
	27	1507.2	5.99983
	28	1549.1	5.99982
	29	1593.89	5.99982
	30	1641.76	5.99982
	31	1692.94	5.99982
	32	1747.65	5.99982
	33	1806.12	5.99982
	34	1868.63	5.99983
	35	1935.45	5.99983
	36	2006.88	5.99983
	37	2083.23	5.99984
	38	2164.84	5.99984
	39	2252.09	5.99985
	40	2345.34	5.99986
	41	2445.03	5.99987
	42	2551.58	5.99988
	43	2665.49	5.99989
	44	2787.24	5.99991
	45	2917.39	5.99992
	46	3056.51	5.99994
	47	3205.22	5.99996
	48	3364.17	5.99998
	49	3534.09	6.00001
	50	3715.72	6.00003
	51	3909.86	6.00006
	52	4117.38	6.00009
	53	4339.21	6.00013
	54	4576.32	6.00016
	55	4829.77	6.0002
	56	5100.68	6.00025
	57	5390.26	6.00029
	58	5699.79	6.00035
	59	6030.65	6.0004
	60	6384.29	6.00046
	61	6762.3	6.00053
	62	7166.34	6.0006
	63	7598.21	6.00067
	64	8059.82	6.00076
	65	8553.21	6.00085
	66	9080.57	6.00094
	67	9644.24	6.00104
	68	10246.7	6.00115
	69	10890.6	6.00127
	70	11578.9	6.0014
	71	12314.5	6.00154
	72	13100.7	6.00168
	73	13941	6.00184
	74	14839.1	6.00201
	75	15798.9	6.00219
	76	16824.8	6.00239
	77	17921.1	6.0026
	78	19092.8	6.00282
	79	20344.9	6.00306
	80	21683.1	6.00332
	81	23113.1	6.0036
	82	24641.3	6.00389
	83	26274.4	6.00421
	84	28019.5	6.00455
	85	29884.3	6.00491
	86	31876.9	6.0053
	87	34006	6.00572
	88	36280.9	6.00616
	89	38711.6	6.00664
	90	41308.6	6.00715
	91	44083.2	6.0077
	92	47047.3	6.00828
	93	50214	6.00891
	94	53596.8	6.00958
	95	57210.3	6.0103
	96	61070.1	6.01106
	97	65192.8	6.01188
	98	69596	6.01276
	99	74298.5	6.0137
	100	79320.4	6.0147
