	t	x	y
	0	1000	6
	1	1006.92	5.99999
	2	1014.32	5.99998
	3	1022.23	5.99997
	4	1030.68	5.99997
	5	1039.72	5.99996
	6	1049.38	5.99995
	7	1059.71	5.99994
	8	1070.75	5.99993
	9	1082.55	5.99992
	10	1095.17	5.99992
	11	1108.65	5.99991
	12	1123.07	5.9999
	13	1138.48	5.99989
	14	1154.95	5.99989
	15	1172.56	5.99988
	16	1191.38	5.99987
	17	1211.5	5.99987
	18	1233.01	5.99986
	19	1256	5.99986
	20	1280.58	5.99985
	21	1306.85	5.99985
	22	1334.93	5.99984
	23	1364.95	5.99984
	24	1397.04	5.99983
	25	1431.34	5.99983
	26	1468.01	5.99983
	27	1507.2	5.99983
	28	1549.1	5.99982
	29	1593.89	5.99982
	30	1641.76	5.99982
	31	1692.94	5.99982
	32	1747.65	5.99982
	33	1806.12	5.99982
	34	1868.63	5.99983
	35	1935.45	5.99983
	36	2006.88	5.99983
	37	2083.23	5.99984
	38	2164.84	5.99984
	39	2252.09	5.99985
	40	2345.34	5.99986
	41	2445.03	5.99987
	42	2551.58	5.99988
	43	2665.49	5.99989
	44	2787.24	5.99991
	45	2917.39	5.99992
	46	3056.51	5.99994
	47	3205.22	5.99996
	48	3364.17	5.99998
	49	3534.09	6.00001
	50	3715.72	6.00003
	51	3909.86	6.00006
	52	4117.38	6.00009
	53	4339.21	6.00013
	54	4576.32	6.00016
	55	4829.77	6.0002
	56	5100.68	6.00025
	57	5390.26	6.00029
	58	5699.79	6.00035
	59	6030.65	6.0004
	60	6384.29	6.00046
	61	6762.3	6.00053
	62	7166.34	6.0006
	63	7598.21	6.00067
	64	8059.82	6.00076
	65	8553.21	6.00085
	66	9080.57	6.00094
	67	9644.24	6.00104
	68	10246.7	6.00115
	69	10890.6	6.00127
	70	11578.9	6.0014
	71	12314.5	6.00154
	72	13100.7	6.00168
	73	13941	6.00184
	74	14839.1	6.00201
	75	15798.9	6.00219
	76	16824.8	6.00239
	77	17921.1	6.0026
	78	19092.8	6.00282
	79	20344.9	6.00306
	80	21683.1	6.00332
	81	23113.1	6.0036
	82	24641.3	6.00389
	83	26274.4	6.00421
	84	28019.5	6.00455
	85	29884.3	6.00491
	86	31876.9	6.0053
	87	34006	6.00572
	88	36280.9	6.00616
	89	38711.6	6.00664
	90	41308.6	6.00715
	91	44083.2	6.0077
	92	47047.3	6.00828
	93	50214	6.00891
	94	53596.8	6.00958
	95	57210.3	6.0103
	96	61070.1	6.01106
	97	65192.8	6.01188
	98	69596	6.01276
	99	74298.5	6.0137
	100	79320.4	6.0147
	101	84683	6.01577
	102	90408.9	6.01692
	103	96522.4	6.01815
	104	103049	6.01946
	105	110017	6.02086
	106	117453	6.02235
	107	125391	6.02396
	108	133862	6.02567
	109	142901	6.02749
	110	152544	6.02945
	111	162832	6.03154
	112	173806	6.03377
	113	185510	6.03615
	114	197989	6.0387
	115	211294	6.04142
	116	225477	6.04432
	117	240593	6.04743
	118	256699	6.05074
	119	273857	6.05428
	120	292132	6.05807
	121	311592	6.0621
	122	332307	6.06641
	123	354352	6.07101
	124	377807	6.07593
	125	402754	6.08117
	126	429279	6.08676
	127	457471	6.09273
	128	487423	6.0991
	129	519235	6.10589
	130	553005	6.11314
	131	588839	6.12087
	132	626845	6.12911
	133	667133	6.13789
	134	709819	6.14725
	135	755018	6.15723
	136	802851	6.16786
	137	853437	6.17918
	138	906901	6.19124
	139	963364	6.20408
	140	1.02295e+06	6.21775
	141	1.08578e+06	6.23229
	142	1.15198e+06	6.24776
	143	1.22167e+06	6.26422
	144	1.29496e+06	6.28171
	145	1.37196e+06	6.30031
	146	1.45277e+06	6.32006
	147	1.53751e+06	6.34105
	148	1.62624e+06	6.36332
	149	1.71906e+06	6.38697
	150	1.81604e+06	6.41205
	151	1.91722e+06	6.43864
	152	2.02264e+06	6.46683
	153	2.13234e+06	6.49669
	154	2.24631e+06	6.52832
	155	2.36454e+06	6.56178
	156	2.48701e+06	6.59718
	157	2.61364e+06	6.63461
	158	2.74438e+06	6.67415
	159	2.8791e+06	6.71591
	160	3.01769e+06	6.75998
	161	3.15999e+06	6.80646
	162	3.30583e+06	6.85545
	163	3.45499e+06	6.90706
	164	3.60727e+06	6.96138
	165	3.76239e+06	7.01853
	166	3.9201e+06	7.0786
	167	4.08009e+06	7.14171
	168	4.24206e+06	7.20795
	169	4.40567e+06	7.27744
	170	4.57058e+06	7.35028
	171	4.73644e+06	7.42657
	172	4.90289e+06	7.50642
	173	5.06955e+06	7.58994
	174	5.23605e+06	7.67723
	175	5.40203e+06	7.76838
	176	5.56712e+06	7.86351
	177	5.73096e+06	7.96271
	178	5.89322e+06	8.06608
	179	6.05355e+06	8.17372
	180	6.21164e+06	8.28572
	181	6.3672e+06	8.40218
	182	6.51995e+06	8.5232
	183	6.66963e+06	8.64886
	184	6.81602e+06	8.77925
	185	6.9589e+06	8.91448
	186	7.09809e+06	9.05462
	187	7.23345e+06	9.19977
	188	7.36483e+06	9.35001
	189	7.49213e+06	9.50543
	190	7.61526e+06	9.66613
	191	7.73418e+06	9.83218
	192	7.84883e+06	10.0037
	193	7.95921e+06	10.1807
	194	8.06531e+06	10.3633
	195	8.16717e+06	10.5517
	196	8.2648e+06	10.7459
	197	8.35828e+06	10.9459
	198	8.44766e+06	11.152
	199	8.53302e+06	11.3641
	200	8.61445e+06	11.5824
	201	8.69205e+06	11.807
	202	8.76591e+06	12.0379
	203	8.83615e+06	12.2753
	204	8.90289e+06	12.5194
	205	8.96624e+06	12.7701
	206	9.02632e+06	13.0276
	207	9.08326e+06	13.292
	208	9.13718e+06	13.5634
	209	9.1882e+06	13.8421
	210	9.23645e+06	14.1279
	211	9.28204e+06	14.4212
	212	9.3251e+06	14.7221
	213	9.36574e+06	15.0306
	214	9.40408e+06	15.3469
	215	9.44023e+06	15.6711
	216	9.47429e+06	16.0035
	217	9.50638e+06	16.3441
	218	9.5366e+06	16.693
	219	9.56504e+06	17.0506
	220	9.59179e+06	17.4169
	221	9.61695e+06	17.792
	222	9.6406e+06	18.1762
	223	9.66283e+06	18.5697
	224	9.68372e+06	18.9726
	225	9.70334e+06	19.385
	226	9.72176e+06	19.8073
	227	9.73905e+06	20.2396
	228	9.75527e+06	20.6821
	229	9.7705e+06	21.135
	230	9.78478e+06	21.5984
	231	9.79818e+06	22.0728
	232	9.81074e+06	22.5582
	233	9.82251e+06	23.0549
	234	9.83355e+06	23.5631
	235	9.84389e+06	24.083
	236	9.85358e+06	24.615
	237	9.86266e+06	25.1593
	238	9.87116e+06	25.7161
	239	9.87912e+06	26.2856
	240	9.88658e+06	26.8683
	241	9.89355e+06	27.4643
	242	9.90008e+06	28.0739
	243	9.9062e+06	28.6974
	244	9.91191e+06	29.3352
	245	9.91726e+06	29.9875
	246	9.92227e+06	30.6546
	247	9.92695e+06	31.3369
	248	9.93132e+06	32.0347
	249	9.93541e+06	32.7483
	250	9.93923e+06	33.4781
	251	9.9428e+06	34.2245
	252	9.94614e+06	34.9877
	253	9.94926e+06	35.7682
	254	9.95216e+06	36.5663
	255	9.95488e+06	37.3824
	256	9.95741e+06	38.217
	257	9.95978e+06	39.0704
	258	9.96198e+06	39.943
	259	9.96403e+06	40.8353
	260	9.96595e+06	41.7476
	261	9.96773e+06	42.6805
	262	9.96939e+06	43.6344
	263	9.97093e+06	44.6098
	264	9.97236e+06	45.6071
	265	9.9737e+06	46.6267
	266	9.97493e+06	47.6693
	267	9.97608e+06	48.7353
	268	9.97714e+06	49.8252
	269	9.97813e+06	50.9396
	270	9.97904e+06	52.079
	271	9.97988e+06	53.2439
	272	9.98065e+06	54.435
	273	9.98137e+06	55.6527
	274	9.98202e+06	56.8977
	275	9.98262e+06	58.1706
	276	9.98317e+06	59.472
	277	9.98368e+06	60.8026
	278	9.98413e+06	62.1629
	279	9.98455e+06	63.5537
	280	9.98492e+06	64.9756
	281	9.98526e+06	66.4293
	282	9.98556e+06	67.9155
	283	9.98582e+06	69.4349
	284	9.98606e+06	70.9883
	285	9.98626e+06	72.5765
	286	9.98644e+06	74.2001
	287	9.98658e+06	75.86
	288	9.98671e+06	77.5569
	289	9.9868e+06	79.2918
	290	9.98688e+06	81.0653
	291	9.98693e+06	82.8785
	292	9.98696e+06	84.7322
	293	9.98697e+06	86.6272
	294	9.98697e+06	88.5645
	295	9.98694e+06	90.545
	296	9.9869e+06	92.5696
	297	9.98683e+06	94.6394
	298	9.98676e+06	96.7554
	299	9.98666e+06	98.9185
	300	9.98656e+06	101.13
	301	9.98643e+06	103.39
	302	9.9863e+06	105.701
	303	9.98614e+06	108.064
	304	9.98598e+06	110.479
	305	9.9858e+06	112.947
	306	9.98561e+06	115.471
	307	9.98541e+06	118.051
	308	9.98519e+06	120.688
	309	9.98497e+06	123.384
	310	9.98473e+06	126.14
	311	9.98448e+06	128.957
	312	9.98422e+06	131.836
	313	9.98394e+06	134.78
	314	9.98366e+06	137.789
	315	9.98336e+06	140.865
	316	9.98306e+06	144.009
	317	9.98274e+06	147.223
	318	9.98241e+06	150.508
	319	9.98207e+06	153.867
	320	9.98172e+06	157.299
	321	9.98136e+06	160.808
	322	9.98099e+06	164.394
	323	9.9806e+06	168.06
	324	9.98021e+06	171.808
	325	9.9798e+06	175.638
	326	9.97939e+06	179.553
	327	9.97896e+06	183.554
	328	9.97852e+06	187.644
	329	9.97806e+06	191.825
	330	9.9776e+06	196.098
	331	9.97712e+06	200.466
	332	9.97663e+06	204.929
	333	9.97613e+06	209.492
	334	9.97562e+06	214.155
	335	9.97509e+06	218.922
	336	9.97456e+06	223.793
	337	9.974e+06	228.772
	338	9.97344e+06	233.86
	339	9.97286e+06	239.061
	340	9.97227e+06	244.376
	341	9.97166e+06	249.808
	342	9.97104e+06	255.36
	343	9.97041e+06	261.034
	344	9.96976e+06	266.832
	345	9.96909e+06	272.758
	346	9.96841e+06	278.815
	347	9.96772e+06	285.004
	348	9.967e+06	291.329
	349	9.96628e+06	297.792
	350	9.96553e+06	304.398
	351	9.96477e+06	311.148
	352	9.96399e+06	318.046
	353	9.9632e+06	325.094
	354	9.96238e+06	332.297
	355	9.96155e+06	339.658
	356	9.9607e+06	347.179
	357	9.95983e+06	354.865
	358	9.95894e+06	362.718
	359	9.95803e+06	370.742
	360	9.9571e+06	378.941
	361	9.95615e+06	387.319
	362	9.95518e+06	395.879
	363	9.95418e+06	404.625
	364	9.95317e+06	413.561
	365	9.95213e+06	422.692
	366	9.95107e+06	432.02
	367	9.94998e+06	441.551
	368	9.94888e+06	451.288
	369	9.94774e+06	461.236
	370	9.94659e+06	471.399
	371	9.9454e+06	481.782
	372	9.94419e+06	492.388
	373	9.94296e+06	503.224
	374	9.9417e+06	514.293
	375	9.9404e+06	525.601
	376	9.93909e+06	537.152
	377	9.93774e+06	548.951
	378	9.93636e+06	561.004
	379	9.93495e+06	573.315
	380	9.93351e+06	585.89
	381	9.93205e+06	598.734
	382	9.93054e+06	611.852
	383	9.92901e+06	625.251
	384	9.92744e+06	638.936
	385	9.92584e+06	652.913
	386	9.9242e+06	667.187
	387	9.92253e+06	681.764
	388	9.92082e+06	696.651
	389	9.91908e+06	711.854
	390	9.91729e+06	727.379
	391	9.91547e+06	743.232
	392	9.91361e+06	759.421
	393	9.91171e+06	775.95
	394	9.90976e+06	792.828
	395	9.90778e+06	810.061
	396	9.90575e+06	827.656
	397	9.90368e+06	845.62
	398	9.90156e+06	863.961
	399	9.8994e+06	882.685
	400	9.89719e+06	901.799
	401	9.89494e+06	921.312
	402	9.89264e+06	941.231
	403	9.89028e+06	961.564
	404	9.88788e+06	982.319
	405	9.88543e+06	1003.5
	406	9.88292e+06	1025.12
	407	9.88036e+06	1047.19
	408	9.87774e+06	1069.71
	409	9.87507e+06	1092.7
	410	9.87235e+06	1116.15
	411	9.86956e+06	1140.09
	412	9.86672e+06	1164.51
	413	9.86381e+06	1189.44
	414	9.86085e+06	1214.86
	415	9.85782e+06	1240.81
	416	9.85473e+06	1267.28
	417	9.85157e+06	1294.28
	418	9.84835e+06	1321.83
	419	9.84506e+06	1349.93
	420	9.8417e+06	1378.59
	421	9.83827e+06	1407.83
	422	9.83477e+06	1437.65
	423	9.83119e+06	1468.06
	424	9.82755e+06	1499.07
	425	9.82382e+06	1530.7
	426	9.82002e+06	1562.95
	427	9.81614e+06	1595.84
	428	9.81218e+06	1629.37
	429	9.80814e+06	1663.55
	430	9.80401e+06	1698.4
	431	9.7998e+06	1733.93
	432	9.7955e+06	1770.14
	433	9.79112e+06	1807.05
	434	9.78664e+06	1844.68
	435	9.78208e+06	1883.02
	436	9.77742e+06	1922.09
	437	9.77267e+06	1961.91
	438	9.76782e+06	2002.48
	439	9.76287e+06	2043.81
	440	9.75782e+06	2085.92
	441	9.75268e+06	2128.82
	442	9.74742e+06	2172.52
	443	9.74207e+06	2217.03
	444	9.7366e+06	2262.36
	445	9.73103e+06	2308.52
	446	9.72535e+06	2355.53
	447	9.71955e+06	2403.39
	448	9.71364e+06	2452.13
	449	9.70762e+06	2501.74
	450	9.70147e+06	2552.24
	451	9.69521e+06	2603.64
	452	9.68882e+06	2655.96
	453	9.68231e+06	2709.2
	454	9.67567e+06	2763.38
	455	9.6689e+06	2818.5
	456	9.662e+06	2874.58
	457	9.65497e+06	2931.63
	458	9.64781e+06	2989.66
	459	9.64051e+06	3048.68
	460	9.63307e+06	3108.7
	461	9.62548e+06	3169.73
	462	9.61776e+06	3231.77
	463	9.60989e+06	3294.85
	464	9.60187e+06	3358.97
	465	9.59371e+06	3424.14
	466	9.58539e+06	3490.37
	467	9.57691e+06	3557.67
	468	9.56828e+06	3626.04
	469	9.5595e+06	3695.5
	470	9.55055e+06	3766.05
	471	9.54144e+06	3837.71
	472	9.53216e+06	3910.47
	473	9.52272e+06	3984.35
	474	9.5131e+06	4059.35
	475	9.50332e+06	4135.49
	476	9.49336e+06	4212.76
	477	9.48322e+06	4291.17
	478	9.47291e+06	4370.73
	479	9.46242e+06	4451.45
	480	9.45174e+06	4533.31
	481	9.44088e+06	4616.34
	482	9.42983e+06	4700.54
	483	9.41859e+06	4785.9
	484	9.40716e+06	4872.43
	485	9.39554e+06	4960.13
	486	9.38372e+06	5049
	487	9.3717e+06	5139.05
	488	9.35949e+06	5230.27
	489	9.34707e+06	5322.66
	490	9.33445e+06	5416.22
	491	9.32162e+06	5510.95
	492	9.30858e+06	5606.85
	493	9.29534e+06	5703.91
	494	9.28188e+06	5802.13
	495	9.26821e+06	5901.51
	496	9.25433e+06	6002.03
	497	9.24023e+06	6103.69
	498	9.22591e+06	6206.49
	499	9.21137e+06	6310.42
	500	9.19661e+06	6415.46
	501	9.18162e+06	6521.61
	502	9.16641e+06	6628.86
	503	9.15097e+06	6737.2
	504	9.13531e+06	6846.61
	505	9.11942e+06	6957.09
	506	9.10329e+06	7068.61
	507	9.08694e+06	7181.16
	508	9.07035e+06	7294.73
	509	9.05353e+06	7409.3
	510	9.03647e+06	7524.86
	511	9.01918e+06	7641.37
	512	9.00165e+06	7758.83
	513	8.98389e+06	7877.22
	514	8.96588e+06	7996.51
	515	8.94764e+06	8116.68
	516	8.92916e+06	8237.7
	517	8.91044e+06	8359.56
	518	8.89148e+06	8482.23
	519	8.87228e+06	8605.68
	520	8.85284e+06	8729.89
	521	8.83316e+06	8854.82
	522	8.81324e+06	8980.45
	523	8.79308e+06	9106.76
	524	8.77267e+06	9233.7
	525	8.75203e+06	9361.25
	526	8.73115e+06	9489.38
	527	8.71003e+06	9618.05
	528	8.68868e+06	9747.23
	529	8.66708e+06	9876.88
	530	8.64525e+06	10007
	531	8.62318e+06	10137.5
	532	8.60088e+06	10268.4
	533	8.57834e+06	10399.6
	534	8.55558e+06	10531.1
	535	8.53258e+06	10662.8
	536	8.50935e+06	10794.8
	537	8.48589e+06	10926.9
	538	8.46221e+06	11059.2
	539	8.4383e+06	11191.6
	540	8.41418e+06	11324
	541	8.38983e+06	11456.5
	542	8.36526e+06	11588.9
	543	8.34047e+06	11721.2
	544	8.31548e+06	11853.5
	545	8.29027e+06	11985.6
	546	8.26485e+06	12117.5
	547	8.23922e+06	12249.1
	548	8.2134e+06	12380.5
	549	8.18737e+06	12511.6
	550	8.16114e+06	12642.2
	551	8.13472e+06	12772.5
	552	8.10811e+06	12902.3
	553	8.0813e+06	13031.7
	554	8.05432e+06	13160.5
	555	8.02715e+06	13288.7
	556	7.9998e+06	13416.3
	557	7.97228e+06	13543.2
	558	7.94459e+06	13669.4
	559	7.91673e+06	13794.9
	560	7.8887e+06	13919.6
	561	7.86052e+06	14043.5
	562	7.83218e+06	14166.5
	563	7.80369e+06	14288.6
	564	7.77505e+06	14409.8
	565	7.74626e+06	14529.9
	566	7.71734e+06	14649.1
	567	7.68828e+06	14767.2
	568	7.65909e+06	14884.2
	569	7.62977e+06	15000.1
	570	7.60033e+06	15114.9
	571	7.57078e+06	15228.4
	572	7.54111e+06	15340.7
	573	7.51132e+06	15451.8
	574	7.48144e+06	15561.6
	575	7.45145e+06	15670
	576	7.42137e+06	15777.1
	577	7.3912e+06	15882.9
	578	7.36094e+06	15987.2
	579	7.3306e+06	16090.2
	580	7.30018e+06	16191.6
	581	7.26969e+06	16291.6
	582	7.23913e+06	16390.1
	583	7.2085e+06	16487.1
	584	7.17782e+06	16582.6
	585	7.14708e+06	16676.4
	586	7.1163e+06	16768.7
	587	7.08546e+06	16859.5
	588	7.05459e+06	16948.6
	589	7.02368e+06	17036
	590	6.99274e+06	17121.9
	591	6.96177e+06	17206.1
	592	6.93078e+06	17288.6
	593	6.89977e+06	17369.4
	594	6.86875e+06	17448.6
