	t	x	y
	0	1000	6
	1	1006.92	5.99999
	2	1014.32	5.99998
	3	1022.23	5.99997
	4	1030.68	5.99997
	5	1039.72	5.99996
	6	1049.38	5.99995
	7	1059.71	5.99994
	8	1070.75	5.99993
	9	1082.55	5.99992
	10	1095.17	5.99992
	11	1108.65	5.99991
	12	1123.07	5.9999
	13	1138.48	5.99989
	14	1154.95	5.99989
	15	1172.56	5.99988
	16	1191.38	5.99987
	17	1211.5	5.99987
	18	1233.01	5.99986
	19	1256	5.99986
	20	1280.58	5.99985
	21	1306.85	5.99985
	22	1334.93	5.99984
	23	1364.95	5.99984
	24	1397.04	5.99983
	25	1431.34	5.99983
	26	1468.01	5.99983
	27	1507.2	5.99983
	28	1549.1	5.99982
	29	1593.89	5.99982
	30	1641.76	5.99982
	31	1692.94	5.99982
	32	1747.65	5.99982
	33	1806.12	5.99982
	34	1868.63	5.99983
	35	1935.45	5.99983
	36	2006.88	5.99983
	37	2083.23	5.99984
	38	2164.84	5.99984
	39	2252.09	5.99985
	40	2345.34	5.99986
	41	2445.03	5.99987
	42	2551.58	5.99988
	43	2665.49	5.99989
	44	2787.24	5.99991
	45	2917.39	5.99992
	46	3056.51	5.99994
	47	3205.22	5.99996
	48	3364.17	5.99998
	49	3534.09	6.00001
	50	3715.72	6.00003
	51	3909.86	6.00006
	52	4117.38	6.00009
	53	4339.21	6.00013
	54	4576.32	6.00016
	55	4829.77	6.0002
	56	5100.68	6.00025
	57	5390.26	6.00029
	58	5699.79	6.00035
	59	6030.65	6.0004
	60	6384.29	6.00046
	61	6762.3	6.00053
	62	7166.34	6.0006
	63	7598.21	6.00067
	64	8059.82	6.00076
	65	8553.21	6.00085
	66	9080.57	6.00094
	67	9644.24	6.00104
	68	10246.7	6.00115
	69	10890.6	6.00127
	70	11578.9	6.0014
	71	12314.5	6.00154
	72	13100.7	6.00168
	73	13941	6.00184
	74	14839.1	6.00201
	75	15798.9	6.00219
	76	16824.8	6.00239
	77	17921.1	6.0026
	78	19092.8	6.00282
	79	20344.9	6.00306
	80	21683.1	6.00332
	81	23113.1	6.0036
	82	24641.3	6.00389
	83	26274.4	6.00421
	84	28019.5	6.00455
	85	29884.3	6.00491
	86	31876.9	6.0053
	87	34006	6.00572
	88	36280.9	6.00616
	89	38711.6	6.00664
	90	41308.6	6.00715
	91	44083.2	6.0077
	92	47047.3	6.00828
	93	50214	6.00891
	94	53596.8	6.00958
	95	57210.3	6.0103
	96	61070.1	6.01106
	97	65192.8	6.01188
	98	69596	6.01276
	99	74298.5	6.0137
	100	79320.4	6.0147
	101	84701.6	4.21105
	102	90447.5	4.21185
	103	96582.3	4.21272
	104	103132	4.21364
	105	110123	4.21463
	106	117586	4.21568
	107	125551	4.21681
	108	134051	4.21801
	109	143122	4.2193
	110	152799	4.22067
	111	163122	4.22214
	112	174134	4.22371
	113	185878	4.22539
	114	198401	4.22718
	115	211752	4.22909
	116	225984	4.23113
	117	241151	4.23332
	118	257313	4.23565
	119	274530	4.23814
	120	292867	4.2408
	121	312393	4.24363
	122	333178	4.24666
	123	355299	4.2499
	124	378833	4.25335
	125	403864	4.25703
	126	430477	4.26097
	127	458763	4.26516
	128	488815	4.26964
	129	520731	4.27441
	130	554612	4.2795
	131	590562	4.28493
	132	628691	4.29072
	133	669109	4.2969
	134	711930	4.30348
	135	757273	4.31049
	136	805255	4.31795
	137	855998	4.32591
	138	909625	4.33438
	139	966258	4.3434
	140	1.02602e+06	4.353
	141	1.08904e+06	4.36322
	142	1.15543e+06	4.37409
	143	1.22532e+06	4.38565
	144	1.29881e+06	4.39794
	145	1.37602e+06	4.411
	146	1.45706e+06	4.42488
	147	1.54202e+06	4.43962
	148	1.63098e+06	4.45527
	149	1.72404e+06	4.47188
	150	1.82125e+06	4.48949
	151	1.92267e+06	4.50817
	152	2.02834e+06	4.52797
	153	2.13828e+06	4.54895
	154	2.2525e+06	4.57115
	155	2.37098e+06	4.59466
	156	2.49369e+06	4.61952
	157	2.62057e+06	4.6458
	158	2.75154e+06	4.67357
	159	2.8865e+06	4.70289
	160	3.02531e+06	4.73384
	161	3.16783e+06	4.76647
	162	3.31387e+06	4.80087
	163	3.46324e+06	4.83711
	164	3.61569e+06	4.87525
	165	3.77099e+06	4.91537
	166	3.92885e+06	4.95754
	167	4.08898e+06	5.00184
	168	4.25107e+06	5.04834
	169	4.41479e+06	5.09712
	170	4.57978e+06	5.14825
	171	4.74571e+06	5.2018
	172	4.91219e+06	5.25785
	173	5.07888e+06	5.31646
	174	5.24538e+06	5.37772
	175	5.41134e+06	5.4417
	176	5.57639e+06	5.50845
	177	5.74018e+06	5.57807
	178	5.90236e+06	5.6506
	179	6.0626e+06	5.72613
	180	6.22058e+06	5.80472
	181	6.37601e+06	5.88644
	182	6.52862e+06	5.97134
	183	6.67814e+06	6.05951
	184	6.82436e+06	6.15099
	185	6.96706e+06	6.24586
	186	7.10606e+06	6.34417
	187	7.24121e+06	6.44599
	188	7.37238e+06	6.55138
	189	7.49947e+06	6.66041
	190	7.62239e+06	6.77312
	191	7.74108e+06	6.8896
	192	7.85551e+06	7.00988
	193	7.96567e+06	7.13405
	194	8.07155e+06	7.26216
	195	8.17318e+06	7.39427
	196	8.27059e+06	7.53044
	197	8.36385e+06	7.67075
	198	8.45301e+06	7.81525
	199	8.53816e+06	7.96401
	200	8.61939e+06	8.1171
	201	8.69681e+06	5.79222
	202	8.7705e+06	5.90561
	203	8.84058e+06	6.02217
	204	8.90715e+06	6.14196
	205	8.97035e+06	6.26504
	206	9.03028e+06	6.39146
	207	9.08708e+06	6.52127
	208	9.14086e+06	6.65454
	209	9.19175e+06	6.79131
	210	9.23987e+06	6.93166
	211	9.28534e+06	7.07565
	212	9.32829e+06	7.22333
	213	9.36882e+06	7.37478
	214	9.40706e+06	7.53006
	215	9.44312e+06	7.68924
	216	9.4771e+06	7.8524
	217	9.5091e+06	8.01961
	218	9.53924e+06	8.19094
	219	9.5676e+06	8.36647
	220	9.59429e+06	8.54629
	221	9.61939e+06	8.73047
	222	9.64299e+06	8.9191
	223	9.66516e+06	9.11227
	224	9.686e+06	9.31007
	225	9.70557e+06	9.51258
	226	9.72395e+06	9.71991
	227	9.74121e+06	9.93215
	228	9.75741e+06	10.1494
	229	9.7726e+06	10.3718
	230	9.78686e+06	10.5993
	231	9.80024e+06	10.8322
	232	9.81278e+06	11.0706
	233	9.82454e+06	11.3145
	234	9.83556e+06	11.564
	235	9.8459e+06	11.8193
	236	9.85558e+06	12.0806
	237	9.86465e+06	12.3478
	238	9.87316e+06	12.6212
	239	9.88112e+06	12.9009
	240	9.88858e+06	13.1871
	241	9.89556e+06	13.4798
	242	9.90211e+06	13.7791
	243	9.90823e+06	14.0854
	244	9.91396e+06	14.3986
	245	9.91933e+06	14.719
	246	9.92435e+06	15.0466
	247	9.92905e+06	15.3818
	248	9.93345e+06	15.7245
	249	9.93756e+06	16.075
	250	9.94141e+06	16.4335
	251	9.94501e+06	16.8001
	252	9.94837e+06	17.1751
	253	9.95152e+06	17.5585
	254	9.95446e+06	17.9506
	255	9.95721e+06	18.3515
	256	9.95978e+06	18.7615
	257	9.96218e+06	19.1808
	258	9.96443e+06	19.6095
	259	9.96652e+06	20.048
	260	9.96848e+06	20.4963
	261	9.97031e+06	20.9547
	262	9.97201e+06	21.4234
	263	9.9736e+06	21.9027
	264	9.97509e+06	22.3928
	265	9.97647e+06	22.894
	266	9.97776e+06	23.4064
	267	9.97897e+06	23.9303
	268	9.98009e+06	24.466
	269	9.98113e+06	25.0138
	270	9.9821e+06	25.5739
	271	9.983e+06	26.1465
	272	9.98384e+06	26.732
	273	9.98462e+06	27.3307
	274	9.98535e+06	27.9428
	275	9.98602e+06	28.5687
	276	9.98664e+06	29.2086
	277	9.98721e+06	29.8629
	278	9.98775e+06	30.5318
	279	9.98824e+06	31.2158
	280	9.98869e+06	31.9151
	281	9.98911e+06	32.6301
	282	9.98949e+06	33.3611
	283	9.98984e+06	34.1085
	284	9.99016e+06	34.8727
	285	9.99045e+06	35.6539
	286	9.99072e+06	36.4527
	287	9.99096e+06	37.2694
	288	9.99118e+06	38.1044
	289	9.99138e+06	38.9581
	290	9.99155e+06	39.831
	291	9.99171e+06	40.7233
	292	9.99184e+06	41.6357
	293	9.99196e+06	42.5684
	294	9.99206e+06	43.5221
	295	9.99215e+06	44.4971
	296	9.99222e+06	45.4939
	297	9.99228e+06	46.5131
	298	9.99232e+06	47.555
	299	9.99235e+06	48.6203
	300	9.99237e+06	49.7094
	301	9.99252e+06	35.5763
	302	9.99265e+06	36.3735
	303	9.99277e+06	37.1886
	304	9.99287e+06	38.0219
	305	9.99296e+06	38.8739
	306	9.99303e+06	39.745
	307	9.99309e+06	40.6356
	308	9.99314e+06	41.5461
	309	9.99318e+06	42.477
	310	9.9932e+06	43.4287
	311	9.99322e+06	44.4017
	312	9.99322e+06	45.3965
	313	9.99321e+06	46.4136
	314	9.9932e+06	47.4534
	315	9.99317e+06	48.5165
	316	9.99314e+06	49.6034
	317	9.99309e+06	50.7145
	318	9.99304e+06	51.8505
	319	9.99298e+06	53.012
	320	9.99292e+06	54.1993
	321	9.99284e+06	55.4133
	322	9.99276e+06	56.6543
	323	9.99268e+06	57.9231
	324	9.99258e+06	59.2203
	325	9.99248e+06	60.5465
	326	9.99237e+06	61.9022
	327	9.99226e+06	63.2883
	328	9.99214e+06	64.7054
	329	9.99201e+06	66.1541
	330	9.99188e+06	67.6351
	331	9.99174e+06	69.1492
	332	9.9916e+06	70.6971
	333	9.99145e+06	72.2796
	334	9.99129e+06	73.8974
	335	9.99113e+06	75.5513
	336	9.99096e+06	77.2422
	337	9.99079e+06	78.9707
	338	9.99061e+06	80.7378
	339	9.99043e+06	82.5443
	340	9.99024e+06	84.3912
	341	9.99004e+06	86.2792
	342	9.98984e+06	88.2093
	343	9.98963e+06	90.1824
	344	9.98942e+06	92.1995
	345	9.9892e+06	94.2616
	346	9.98897e+06	96.3696
	347	9.98874e+06	98.5245
	348	9.9885e+06	100.728
	349	9.98826e+06	102.98
	350	9.98801e+06	105.282
	351	9.98775e+06	107.635
	352	9.98749e+06	110.041
	353	9.98722e+06	112.5
	354	9.98694e+06	115.014
	355	9.98666e+06	117.584
	356	9.98636e+06	120.212
	357	9.98607e+06	122.897
	358	9.98576e+06	125.642
	359	9.98545e+06	128.449
	360	9.98513e+06	131.317
	361	9.98481e+06	134.25
	362	9.98447e+06	137.247
	363	9.98413e+06	140.311
	364	9.98378e+06	143.443
	365	9.98342e+06	146.645
	366	9.98305e+06	149.918
	367	9.98268e+06	153.263
	368	9.98229e+06	156.682
	369	9.9819e+06	160.177
	370	9.9815e+06	163.75
	371	9.98109e+06	167.402
	372	9.98067e+06	171.135
	373	9.98024e+06	174.95
	374	9.9798e+06	178.85
	375	9.97935e+06	182.836
	376	9.97889e+06	186.911
	377	9.97842e+06	191.075
	378	9.97794e+06	195.332
	379	9.97745e+06	199.682
	380	9.97695e+06	204.129
	381	9.97644e+06	208.674
	382	9.97591e+06	213.319
	383	9.97538e+06	218.067
	384	9.97483e+06	222.92
	385	9.97427e+06	227.879
	386	9.9737e+06	232.948
	387	9.97311e+06	238.129
	388	9.97251e+06	243.424
	389	9.9719e+06	248.835
	390	9.97127e+06	254.365
	391	9.97063e+06	260.017
	392	9.96998e+06	265.794
	393	9.96931e+06	271.697
	394	9.96862e+06	277.73
	395	9.96793e+06	283.895
	396	9.96721e+06	290.196
	397	9.96648e+06	296.635
	398	9.96574e+06	303.215
	399	9.96497e+06	309.939
	400	9.96419e+06	316.811
	401	9.96433e+06	226.696
	402	9.9644e+06	231.734
	403	9.96442e+06	236.883
	404	9.96439e+06	242.146
	405	9.96431e+06	247.525
	406	9.96419e+06	253.022
	407	9.96401e+06	258.641
	408	9.9638e+06	264.383
	409	9.96354e+06	270.251
	410	9.96324e+06	276.249
	411	9.9629e+06	282.379
	412	9.96252e+06	288.643
	413	9.96211e+06	295.045
	414	9.96166e+06	301.587
	415	9.96117e+06	308.273
	416	9.96065e+06	315.105
	417	9.9601e+06	322.087
	418	9.95951e+06	329.222
	419	9.95889e+06	336.512
	420	9.95824e+06	343.963
	421	9.95756e+06	351.576
	422	9.95685e+06	359.355
	423	9.95611e+06	367.304
	424	9.95533e+06	375.427
	425	9.95453e+06	383.726
	426	9.9537e+06	392.206
	427	9.95283e+06	400.871
	428	9.95194e+06	409.724
	429	9.95102e+06	418.77
	430	9.95007e+06	428.012
	431	9.94909e+06	437.454
	432	9.94808e+06	447.101
	433	9.94704e+06	456.957
	434	9.94597e+06	467.026
	435	9.94486e+06	477.313
	436	9.94373e+06	487.823
	437	9.94257e+06	498.559
	438	9.94138e+06	509.527
	439	9.94016e+06	520.731
	440	9.9389e+06	532.176
	441	9.93761e+06	543.867
	442	9.93629e+06	555.81
	443	9.93494e+06	568.009
	444	9.93356e+06	580.469
	445	9.93214e+06	593.197
	446	9.93068e+06	606.196
	447	9.92919e+06	619.474
	448	9.92767e+06	633.035
	449	9.92611e+06	646.885
	450	9.92452e+06	661.03
	451	9.92289e+06	675.476
	452	9.92122e+06	690.229
	453	9.91951e+06	705.295
	454	9.91776e+06	720.681
	455	9.91597e+06	736.392
	456	9.91415e+06	752.435
	457	9.91228e+06	768.817
	458	9.91037e+06	785.545
	459	9.90842e+06	802.624
	460	9.90642e+06	820.063
	461	9.90438e+06	837.867
	462	9.9023e+06	856.045
	463	9.90017e+06	874.603
	464	9.89799e+06	893.548
	465	9.89577e+06	912.889
	466	9.89349e+06	932.633
	467	9.89117e+06	952.787
	468	9.8888e+06	973.359
	469	9.88637e+06	994.358
	470	9.88389e+06	1015.79
	471	9.88136e+06	1037.67
	472	9.87878e+06	1059.99
	473	9.87614e+06	1082.78
	474	9.87344e+06	1106.03
	475	9.87069e+06	1129.76
	476	9.86787e+06	1153.97
	477	9.865e+06	1178.68
	478	9.86207e+06	1203.89
	479	9.85907e+06	1229.61
	480	9.85601e+06	1255.85
	481	9.85288e+06	1282.62
	482	9.84969e+06	1309.93
	483	9.84643e+06	1337.79
	484	9.84311e+06	1366.22
	485	9.83971e+06	1395.2
	486	9.83624e+06	1424.77
	487	9.8327e+06	1454.93
	488	9.82909e+06	1485.68
	489	9.8254e+06	1517.05
	490	9.82163e+06	1549.03
	491	9.81779e+06	1581.64
	492	9.81386e+06	1614.89
	493	9.80986e+06	1648.79
	494	9.80577e+06	1683.36
	495	9.8016e+06	1718.59
	496	9.79734e+06	1754.51
	497	9.79299e+06	1791.12
	498	9.78856e+06	1828.44
	499	9.78403e+06	1866.47
	500	9.77942e+06	1905.22
	501	9.7803e+06	1361.8
	502	9.78085e+06	1390.51
	503	9.78109e+06	1419.8
	504	9.78102e+06	1449.68
	505	9.78067e+06	1480.17
	506	9.78004e+06	1511.26
	507	9.77914e+06	1542.98
	508	9.77799e+06	1575.33
	509	9.7766e+06	1608.31
	510	9.77497e+06	1641.95
	511	9.77311e+06	1676.25
	512	9.77103e+06	1711.23
	513	9.76873e+06	1746.89
	514	9.76623e+06	1783.24
	515	9.76352e+06	1820.29
	516	9.76062e+06	1858.06
	517	9.75753e+06	1896.56
	518	9.75425e+06	1935.8
	519	9.75079e+06	1975.78
	520	9.74716e+06	2016.52
	521	9.74334e+06	2058.04
	522	9.73936e+06	2100.34
	523	9.7352e+06	2143.43
	524	9.73088e+06	2187.32
	525	9.72639e+06	2232.03
	526	9.72174e+06	2277.57
	527	9.71692e+06	2323.95
	528	9.71195e+06	2371.18
	529	9.70682e+06	2419.27
	530	9.70153e+06	2468.23
	531	9.69608e+06	2518.07
	532	9.69048e+06	2568.82
	533	9.68472e+06	2620.46
	534	9.6788e+06	2673.03
	535	9.67273e+06	2726.53
	536	9.6665e+06	2780.96
	537	9.66012e+06	2836.35
	538	9.65357e+06	2892.7
	539	9.64687e+06	2950.02
	540	9.64002e+06	3008.32
	541	9.633e+06	3067.62
	542	9.62582e+06	3127.92
	543	9.61849e+06	3189.24
	544	9.61099e+06	3251.58
	545	9.60333e+06	3314.96
	546	9.59551e+06	3379.38
	547	9.58752e+06	3444.85
	548	9.57937e+06	3511.39
	549	9.57104e+06	3579
	550	9.56255e+06	3647.68
	551	9.55389e+06	3717.46
	552	9.54506e+06	3788.34
	553	9.53605e+06	3860.31
	554	9.52687e+06	3933.4
	555	9.51751e+06	4007.61
	556	9.50798e+06	4082.95
	557	9.49826e+06	4159.42
	558	9.48836e+06	4237.03
	559	9.47828e+06	4315.78
	560	9.46801e+06	4395.68
	561	9.45756e+06	4476.74
	562	9.44691e+06	4558.95
	563	9.43608e+06	4642.33
	564	9.42505e+06	4726.87
	565	9.41383e+06	4812.58
	566	9.40241e+06	4899.46
	567	9.39079e+06	4987.51
	568	9.37898e+06	5076.73
	569	9.36696e+06	5167.13
	570	9.35474e+06	5258.7
	571	9.34231e+06	5351.44
	572	9.32967e+06	5445.36
	573	9.31683e+06	5540.44
	574	9.30377e+06	5636.68
	575	9.2905e+06	5734.09
	576	9.27702e+06	5832.66
	577	9.26332e+06	5932.38
	578	9.24941e+06	6033.25
	579	9.23527e+06	6135.26
	580	9.22091e+06	6238.4
	581	9.20634e+06	6342.66
	582	9.19153e+06	6448.04
	583	9.1765e+06	6554.53
	584	9.16125e+06	6662.11
	585	9.14577e+06	6770.77
	586	9.13005e+06	6880.5
	587	9.11411e+06	6991.29
	588	9.09794e+06	7103.13
	589	9.08153e+06	7215.99
	590	9.06489e+06	7329.87
	591	9.04801e+06	7444.74
	592	9.0309e+06	7560.58
	593	9.01355e+06	7677.39
	594	8.99596e+06	7795.13
	595	8.97814e+06	7913.79
